what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1326136109468
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1326136109469
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1326136109470
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1326136109471
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1326136109474
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1326136109477
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1326136109477
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1326136109478
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1326136109479
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1326136109480
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1326136109480
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1326136109481
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1326136109482
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1326136109486
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1326136109487
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1326136109493
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1326136109493
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1326136109494
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1326136109495
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1326136109495
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1326136109495
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1326136109496
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1326136109497
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1326136109498
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1326136109498
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1326136109499
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1326136109500
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1326136109501
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1326136109503
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1326136109504
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1326136109506
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1326136109509
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1326136109511
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1326136109512
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1326136109513
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1326136109514
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1326136109515
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1326136109516
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1326136109516
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1326136109517
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1326136109518
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326136109519
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1326136109520
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326136109520
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1326136109520
os,sysinfo,,,"macosx",1326136109525
arch,sysinfo,,,"x86",1326136109525
ws,sysinfo,,,"cocoa",1326136109525
locale,sysinfo,,,"en_US",1326136109525
processors,sysinfo,,,"2",1326136109525
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326136109525
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1326136109525
java.specification.name,sysinfo,,,"Java Platform API Specification",1326136109525
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326136109525
java.specification.version,sysinfo,,,"1.6",1326136109525
java.vendor,sysinfo,,,"Apple Inc.",1326136109525
java.version,sysinfo,,,"1.6.0_29",1326136109525
java.vm.info,sysinfo,,,"mixed mode, sharing",1326136109525
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326136109525
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326136109525
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326136109525
java.vm.specification.version,sysinfo,,,"1.0",1326136109525
java.vm.vendor,sysinfo,,,"Apple Inc.",1326136109525
java.vm.version,sysinfo,,,"20.4-b02-402",1326136109525
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1326136109538
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1326136110350
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1326136110827
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1326136113821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136116303
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1326136116315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136116973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136117436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136117768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136118652
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1326136123195
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1326136123256
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1326136123266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136124858
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1326136133128
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1326136133862
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1326136133870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136134482
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1326136138200
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1326136138208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136140343
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1326136143456
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1326136143470
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1326136143741
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1326136143826
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1326136143910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136147486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1326136147530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136152160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136162942
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326136164544
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326136164616
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1326136165012
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1326136168632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136223035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136223150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136244388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136244532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136257845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136257994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136261966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136262104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136277869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136280031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136280483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136298063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326136307559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326136307908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326136308267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326136308650
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1326136315777
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1326136315869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326136325104
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1326136325175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326136326754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136352275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136355223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136356344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136357051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136360891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136361663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136362587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136516708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136519862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136524229
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1326136525012
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326136528675
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1326136533539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136540928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326136556849
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326136560122
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326136575485
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326136576002
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326136581594
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326136581859
